"전철역코드","전철역명","전철명명(영문)","호선","외부코드","전철명명(중문)","전철명명(일문)"
"1914","보산","Bosan","01호선","102","保山","ポサン"
"1908","녹양","Nogyang","01호선","108","??","ノギャン"
"1805","송내","Songnae","01호선","150","松?","ソンネ"
"1729","당정","Dangjeong","01호선","P151","堂井","タンジョン"
"1717","세마","Sema","01호선","P158","洗?","セマ"
"1020","월계","Wolgye","01호선","118","月溪","ウォルゲ"
"1709","군포","Gunpo","01호선","P150","?浦","クンポ"
"1707","명학","Myeonghak","01호선","P148","??","ミョンハク"
"1809","주안","Juan","01호선","156","朱安","チュアン"
"1719","오산","Osan","01호선","P160","?山","オサン"
"1708","금정","Geumjeong","01호선","P149","衿井","クムジョン"
"0224","서초","Seocho","02호선","224","瑞草","ソチョ"
"0231","신대방","Sindaebang","02호선","231","新大方","シンデバン"
"0219","삼성","Samseong","02호선","219","三成(?展中心)","サムソン(三成)"
"0215","잠실나루","Jamsillaru","02호선","215","쒧室渡口","チャムシルナル"
"0216","잠실","Jamsil","02호선","216","쒧室(松坡??)","チャムシル"
"0217","잠실새내","Jamsilsaenae","02호선","217","쒧室新川","チャムシルセネ"
"0206","신당","Sindang","02호선","206","新堂","シンダン"
"0211","성수","Seongsu","02호선","211","?水","ソンス"
"0250","용두","Yongdu","02호선","211-3","??(?大???)","ヨンドゥ"
"0248","양천구청","Yangcheon-gu Office","02호선","234-2","?川??","ヤンチョングチョン"
"0237","당산","Dangsan","02호선","237","堂山","タンサン"
"0241","이대","Ewha Womans Univ.","02호선","241","梨花女子大?","イデ"
"0225","방배","Bangbae","02호선","225","方背","パンベ"
"0204","을지로4가","Euljiro 4(sa)-ga","02호선","204","乙支路四街","ウルチロサガ"
"0246","신설동","Sinseol-dong","02호선","211-4","新設洞","シンソルトン"
"0218","종합운동장","Sports Complex","02호선","218","?合???","チョンハブンドンジャン"
"0212","건대입구","Konkuk Univ.","02호선","212","建?大?","コンデイック"
"0232","구로디지털단지","Guro Digital Complex","02호선","232","九老????","クロ·デジタルダンジ"
"0244","용답","Yongdap","02호선","211-1","?踏","ヨンダプ"
"0213","구의","Guui","02호선","213","九宜","クイ"
"0203","을지로3가","Euljiro 3(sam)-ga","02호선","203","乙支路三街","ウルチロサムガ"
"0210","뚝섬","Ttukseom","02호선","210","纛?","トゥッソム"
"0226","사당","Sadang","02호선","226","舍堂","サダン"
"0236","영등포구청","Yeongdeungpo-gu Office","02호선","236","永登浦??","ヨンドゥンポグチョン"
"0234","신도림","Sindorim","02호선","234","新道林","シンドリム"
"0240","신촌","Sinchon","02호선","240","新村","シンチョン(新村)"
"0201","시청","City Hall","02호선","201","市廳","シチョン"
"0220","선릉","Seolleung","02호선","220","宣陵","ソンルン"
"0200","까치산","Kkachisan","02호선","234-4","喜?山","カチサン"
"0228","서울대입구","Seoul Nat`l Univ.","02호선","228","首?大?(冠岳??)","ソウルデイック"
"0221","역삼","Yeoksam","02호선","221","?三","ヨッサム"
"0222","강남","Gangnam","02호선","222","江南","カンナム"
"0229","봉천","Bongcheon","02호선","229","奉天","ポンチョン"
"0233","대림","Daerim","02호선","233","大林(九老??)","テリム"
"0247","도림천","Dorimcheon","02호선","234-1","道林川","トリムチョン"
"0223","교대","Seoul Nat`l Univ. of Education","02호선","223","首??育大?","キョデ"
"0207","상왕십리","Sangwangsimni","02호선","207","上往十里","サンワンシムニ"
"0208","왕십리","Wangsimni","02호선","208","往十里","ワンシムニ"
"0209","한양대","Hanyang Univ.","02호선","209","??大?","ハニャンデ"
"0214","강변","Gangbyeon","02호선","214","江?(?首?客?站)","カンビョン"
"0245","신답","Sindap","02호선","211-2","新踏","シンダプ"
"0243","충정로","Chungjeongno","02호선","243","忠正路(京畿大?)","チュンジョンノ"
"0230","신림","Sillim","02호선","230","新林","シンリム"
"0202","을지로입구","Euljiro 1(il)-ga","02호선","202","乙支路入口","ウルチロイック"
"0235","문래","Mullae","02호선","235","文來","ムンレ"
"0249","신정네거리","Sinjeongnegeori","02호선","234-3","新亭十字路口","シンジョンネゴリ"
"0239","홍대입구","Hongik Univ.","02호선","239","弘益大?","ホンデイック"
"0242","아현","Ahyeon","02호선","242","阿?","アヒョン"
"0227","낙성대","Nakseongdae","02호선","227","落星垈","ナクソンデ"
"0238","합정","Hapjeong","02호선","238","合井","ハプチョン"
"0205","동대문역사문화공원","Dongdaemun History  Culture Park","02호선","205","?大??史文化公?(DDP)","トンデムンヨクサムンファゴンウォン(DDP)"
"0325","옥수","Oksu","03호선","335","玉水","オクス"
"0328","잠원","Jamwon","03호선","338","쒧院","チャムォン"
"1954","백석","Baekseok","03호선","313","白石","白石"
"1952","화정","Hwajeong","03호선","315","花井","花井"
"1948","원흥","Wonheung","03호선","317","元興","ウォンフン"
"0330","교대","Seoul Nat`l Univ. of Education","03호선","340","首??育大?","キョデ?"
"0316","독립문","Dongnimmun","03호선","326","?立?","トンニンムン"
"0311","연신내","Yeonsinnae","03호선","321","延新川","ヨンシンネ"
"0312","불광","Bulgwang","03호선","322","佛光","プルグァン"
"0342","오금","Ogeum","03호선","352","梧琴","オグム"
"0341","경찰병원","National Police Hospital","03호선","351","警察?院","キョンチャル·ピョンウォン"
"0334","도곡","Dogok","03호선","344","道谷","トゴク"
"0320","을지로3가","Euljiro 3(sam)-ga","03호선","330","乙支路三街","ウルチロサムガ"
"0331","남부터미널","Nambu Bus Terminal","03호선","341","南部客?站","ナンブタ?ミナル"
"0329","고속터미널","Express Bus Terminal","03호선","339","高速巴士客?站","コソクタ?ミナル"
"0319","종로3가","Jongno 3(sam)-ga","03호선","329","?路三街","チョンノサムガ"
"0315","무악재","Muakjae","03호선","325","毋岳?","ムアクチェ"
"0310","구파발","Gupabal","03호선","320","?把?","クパバル"
"0309","지축","Jichuk","03호선","319","?杻","チチュク"
"0313","녹번","Nokbeon","03호선","323","碌磻","ノッポン"
"0337","대청","Daecheong","03호선","347","大?","テチョン"
"0340","가락시장","Garak Market","03호선","350","可?市?","カラク·シジャン"
"0336","학여울","Hangnyeoul","03호선","346","??","ハンニョウル"
"0327","신사","Sinsa","03호선","337","新沙","シンサ"
"1950","삼송","Samsong","03호선","318","三松","三松"
"1951","원당","Wondang","03호선","316","元堂","元堂"
"1953","대곡","Daegok","03호선","314","大谷","大谷"
"1955","마두","Madu","03호선","312","馬頭","馬頭"
"1956","정발산","Jeongbalsan","03호선","311","鼎鉢山","鼎鉢山"
"1957","주엽","Juyeop","03호선","310","注葉","注葉"
"1958","대화","Daehwa","03호선","309","大化","大化"
"0321","충무로","Chungmuro","03호선","331","忠武路","チュンムロ"
"0332","양재","Yangjae","03호선","342","良才(瑞草??)","ヤンジェ"
"0317","경복궁","Gyeongbokgung","03호선","327","景福?(政府首??舍)","キョンボックン"
"0322","동대입구","Dongguk Univ.","03호선","332","??大?","トンデイック"
"0318","안국","Anguk","03호선","328","安?","アングク"
"0314","홍제","Hongje","03호선","324","弘?","ホンジェ"
"0323","약수","Yaksu","03호선","333","?水","ヤクス"
"0339","수서","Suseo","03호선","349","水西","スソ"
"0324","금호","Geumho","03호선","334","金湖","クムホ"
"0338","일원","Irwon","03호선","348","逸院","イルォン"
"0335","대치","Daechi","03호선","345","大峙","テチ"
"0326","압구정","Apgujeong","03호선","336","狎?亭","アックジョン"
"0333","매봉","Maebong","03호선","343","梅峰","メボン"
"1454","정부과천청사","Government Complex Gwacheon","04호선","439","政府果川?舍","チョンブ·クァチョンチョンサ"
"1761","정왕","Jeongwang","04호선","455","正往","チョンワン"
"0428","삼각지","Samgakji","04호선","428","三角地","サムガクチ"
"0413","쌍문","Ssangmun","04호선","413","??","サンムン"
"0412","창동","Chang-dong","04호선","412","?洞","チャンドン"
"0411","노원","Nowon","04호선","411","芦原","ノウォン"
"0410","상계","Sanggye","04호선","410","上溪","サンゲ"
"0434","남태령","Namtaeryeong","04호선","434","南泰?","ナムテリョン"
"1450","선바위","Seonbawi","04호선","435","立岩","ソンバウィ"
"0424","명동","Myeong-dong","04호선","424","明洞","ミョンドン"
"0431","동작","Dongjak","04호선","431","?雀(?忠院)","トンジャク"
"0416","미아사거리","Miasageori","04호선","416","?阿十字路口","ミアサゴリ"
"0430","이촌","Ichon","04호선","430","二村","イチョン"
"0422","동대문역사문화공원","Dongdaemun History  Culture Park","04호선","422","?大??史文化公?","トンデムンヨクサムンファゴンウォン"
"0429","신용산","Sinyongsan","04호선","429","新?山","シニョンサン"
"1451","경마공원","Seoul Racecourse Park","04호선","436","??公?","キョンマゴンウォン"
"1455","인덕원","Indeogwon","04호선","440","仁德院","インドグォン"
"0408","별내별가람","Byeollae Byeolgaram","04호선","408","別內星江","ピョルネビョルガラム"
"1452","대공원","Seoul Grand Park","04호선","437","首?大公?","テゴンウォン"
"1456","평촌","Pyeongchon","04호선","441","坪村","ピョンチョン"
"1457","범계","Beomgye","04호선","442","凡溪","ポムゲ"
"1458","금정","Geumjeong","04호선","443","衿井","クムジョン"
"0420","혜화","Hyehwa","04호선","420","惠化","ヘファ"
"1453","과천","Gwacheon","04호선","438","果川","クァチョン"
"1751","산본","Sanbon","04호선","444","山本","サンボン"
"1752","대야미","Daeyami","04호선","446","大夜味","テヤミ"
"0432","총신대입구","Chongshin Univ.","04호선","432","?神大?","チョンシンデイック"
"1754","상록수","Sangnoksu","04호선","448","常??","サンロッス"
"0421","동대문","Dongdaemun","04호선","421","?大?","トンデムン"
"1755","한대앞","Hanyang Univ. at Ansan","04호선","449","??大?","ハンデアプ"
"1756","중앙","Jungang","04호선","450","中央","チュンアン"
"0414","수유","Suyu","04호선","414","水逾(江北??)","スユ"
"0433","사당","Sadang","04호선","433","舍堂","サダン"
"1757","고잔","Gojan","04호선","451","古?","コジャン"
"0409","불암산","Buramsan","04호선","409","佛岩山","プラムサン"
"0419","한성대입구","Hansung Univ.","04호선","419","?城大?","ハンソンデイック"
"1758","초지","Choji","04호선","452","草芝","チョジ"
"1759","안산","Ansan","04호선","453","安山","アンサン"
"1760","신길온천","Neunggil","04호선","454","新吉?泉","シンギル·オンチョン"
"1762","오이도","Oido","04호선","456","?耳?","オイド"
"1763","수리산","Surisan","04호선","445","修理山","スリサン"
"0423","충무로","Chungmuro","04호선","423","忠武路","チュンムロ"
"0405","진접","Jinjeop","04호선","405","榛接","チンジョプ"
"0415","미아","Mia","04호선","415","?阿(首???大?)","ミア"
"0425","회현","Hoehyeon","04호선","425","??(南大?市?)","フェヒョン"
"0427","숙대입구","Sookmyung Women`s Univ.","04호선","427","淑明女子大?(葛月)","スクテイック"
"0406","오남","Onam","04호선","406","梧 南","オナム"
"0418","성신여대입구","Sungshin Women`s Univ.","04호선","418","?信女子大?(敦岩)","ソンシンヨデイック"
"0426","서울역","Seoul Station","04호선","426","首?站","ソウルヨク"
"0417","길음","Gireum","04호선","417","吉音","キルム"
"1753","반월","Banwol","04호선","447","半月","パヌォル"
"2517","우장산","Ujangsan","05호선","516","雨씉山","ウジャンサン"
"2518","화곡","Hwagok","05호선","517","禾谷","ファゴク"
"2519","까치산","Kkachisan","05호선","518","喜?山","カチサン"
"2521","목동","Mok-dong","05호선","520","木洞","モクトン"
"2522","오목교","Omokgyo","05호선","521","梧木?","オモッキョ"
"2523","양평","Yangpyeong","05호선","522","?坪","ヤンピョン"
"2543","답십리","Dapsimni","05호선","542","踏十里","タプシムニ"
"2559","개롱","Gaerong","05호선","P553","??","ケロン"
"2524","영등포구청","Yeongdeungpo-gu Office","05호선","523","永登浦??","ヨンドゥンポグチョン"
"2525","영등포시장","Yeongdeungpo Market","05호선","524","永登浦市?","ヨンドゥンポシジャン"
"2526","신길","Singil","05호선","525","新吉","シンギル"
"2528","여의나루","Yeouinaru","05호선","527","汝矣渡口","ヨイナル"
"2529","마포","Mapo","05호선","528","麻浦","マポ"
"2557","방이","Bangi","05호선","P551","芳荑","パンイ"
"2558","오금","Ogeum","05호선","P552","梧琴","オグム"
"2560","거여","Geoyeo","05호선","P554","巨余","コヨ"
"2561","마천","Macheon","05호선","P555","?川","マチョン"
"2562","강일","Gangil","05호선","554","江一","カンイル"
"2530","공덕","Gongdeok","05호선","529","孔德","コンドク"
"2531","애오개","Aeogae","05호선","530","??","エオゲ"
"2532","충정로","Chungjeongno","05호선","531","忠正路","チュンジョンノ"
"2533","서대문","Seodaemun","05호선","532","西大?","ソデムン"
"2534","광화문","Gwanghwamun","05호선","533","光化?","クァンファムン"
"2535","종로3가","Jongno 3(sam)-ga","05호선","534","?路三街","チョンノサムガ"
"2520","신정","Sinjeong","05호선","519","新亭","シンジョン"
"2549","강동","Gangdong","05호선","548","江?","カンドン"
"2527","여의도","Yeouido","05호선","526","汝矣?","ヨイド"
"2536","을지로4가","Euljiro 4(sa)-ga","05호선","535","乙支路四街","ウルチロサガ"
"2538","청구","Cheonggu","05호선","537","?丘","チョング"
"2539","신금호","Singeumho","05호선","538","新金湖","シングムホ"
"2540","행당","Haengdang","05호선","539","杏堂","ヘンダン"
"2541","왕십리","Wangsimni","05호선","540","往十里","ワンシムニ"
"2542","마장","Majang","05호선","541","??","マジャン"
"2544","장한평","Janghanpyeong","05호선","543","??坪","チャンハンピョン"
"2545","군자","Gunja","05호선","544","君子","クンジャ"
"2546","아차산","Achasan","05호선","545","峨嵯山","アチャサン"
"2547","광나루","Gwangnaru","05호선","546","?渡口","クァンナル"
"2548","천호","Cheonho","05호선","547","千戶","チョンホ"
"2550","길동","Gil-dong","05호선","549","吉洞","キルトン"
"2551","굽은다리","Gubeundari","05호선","550","曲?","クブンダリ"
"2552","명일","Myeongil","05호선","551","明逸","ミョンイル"
"2553","고덕","Godeok","05호선","552","高德","コドク"
"2554","상일동","Sangil-dong","05호선","553","上一洞","サンイルトン"
"2555","둔촌동","Dunchon-dong","05호선","P549","遁村洞","トゥンチョンドン"
"2563","미사","Misa","05호선","555","渼沙","ミサ"
"2564","하남풍산","Hanam Pungsan","05호선","556","河南쎱山","ハナンプンサン"
"2565","하남시청","Hanam City Hall","05호선","557","河南市?","ハナムシチョン"
"2566","하남검단산","Hanam Geomdansan","05호선","558","河南黔丹山","ハナムゴムダンサン"
"2537","동대문역사문화공원","Dongdaemun History  Culture Park","05호선","536","?大??史文化公?","トンデムンヨクサムンファゴンウォン"
"2556","올림픽공원","Olympic Park","05호선","P550","?林匹克公?","オリンピックゴンウォン"
"2511","방화","Banghwa","05호선","510","傍花","パンファ"
"2512","개화산","Gaehwasan","05호선","511","?花山","ケファサン"
"2513","김포공항","Gimpo Intl. Airport","05호선","512","金浦机?","キンポゴンハン"
"2514","송정","Songjeong","05호선","513","松亭","ソンジョン"
"2515","마곡","Magok","05호선","514","麻谷","マゴク"
"2516","발산","Balsan","05호선","515","?山","パルサン"
"2638","창신","Changsin","06호선","637","昌信","チャンシン"
"2616","구산","Gusan","06호선","615","?山","クサン"
"2621","마포구청","Mapo-gu Office","06호선","620","麻浦??","マポグチョン"
"2626","대흥","Daeheung","06호선","625","大?","テフン"
"2648","봉화산","Bonghwasan","06호선","647","烽火山","ポンファサン"
"2611","응암","Eungam","06호선","610","?岩","ウンアム"
"2612","역촌","Yeokchon","06호선","611","?村","ヨクチョン"
"2613","불광","Bulgwang","06호선","612","佛光","プルグァン"
"2614","독바위","Dokbawi","06호선","613","瓮岩","トッパウィ"
"2615","연신내","Yeonsinnae","06호선","614","延新川","ヨンシンネ"
"2617","새절","Saejeol","06호선","616","?折","セジョル"
"2618","증산","Jeungsan","06호선","617","?山","チュンサン"
"2619","디지털미디어시티","Digital Media City","06호선","618","??媒?城","デジタルメディアシティ"
"2620","월드컵경기장","World Cup Stadium","06호선","619","世界杯?育?","ワ?ルドカップ·キョンギジャン"
"2622","망원","Mangwon","06호선","621","望?","マンウォン"
"2623","합정","Hapjeong","06호선","622","合井","ハプチョン"
"2624","상수","Sangsu","06호선","623","上水","サンス"
"2625","광흥창","Gwangheungchang","06호선","624","???","クァンフンチャン"
"2627","공덕","Gongdeok","06호선","626","孔德","コンドク"
"2628","효창공원앞","Hyochang park","06호선","627","孝昌公?","ヒョチャンゴンウォンアプ"
"2629","삼각지","Samgakji","06호선","628","三角地","サムガクチ"
"2630","녹사평","Noksapyeong","06호선","629","?莎坪","ノッサピョン"
"2631","이태원","Itaewon","06호선","630","梨泰院","イテウォン"
"2632","한강진","Hangangjin","06호선","631","?江?","ハンガンジン"
"2633","버티고개","Beotigogae","06호선","632","波堤?","ポティゴゲ"
"2634","약수","Yaksu","06호선","633","?水","ヤッス"
"2635","청구","Cheonggu","06호선","634","?丘","チョング"
"2636","신당","Sindang","06호선","635","新堂","シンダン"
"2637","동묘앞","Dongmyo","06호선","636","??","トンミョアプ"
"2639","보문","Bomun","06호선","638","普?","ポムン"
"2640","안암","Anam","06호선","639","安岩","アナム"
"2641","고려대","Korea Univ.","06호선","640","高?大?","コリョデ"
"2642","월곡","Wolgok","06호선","641","月谷","ウォルゴク"
"2643","상월곡","Sangwolgok","06호선","642","上月谷","サンウォルゴク"
"2644","돌곶이","Dolgoji","06호선","643","石串","トルゴジ"
"2645","석계","Seokgye","06호선","644","石溪","ソッケ"
"2646","태릉입구","Taereung","06호선","645","泰陵","テルンイック"
"2647","화랑대","Hwarangdae","06호선","646","花郞台","ファランデ"
"2649","신내","Sinnae","06호선","648","新內","シンネ"
"2713","수락산","Suraksan","07호선","711","水落山","スラッサン"
"3761","부평구청","Bupyeong-gu Office","07호선","759","富平??","プピョングチョン"
"3759","삼산체육관","Samsan Gymnasium","07호선","757","三山?育?","サムサン·チェユックァン"
"3756","신중동","Sinjung-dong","07호선","754","新中洞","シンジュンドン"
"3753","까치울","Kkachiul","07호선","751","喜?屋","カチウル"
"3758","상동","Sang-dong","07호선","756","上洞","サンドン"
"3754","부천종합운동장","Bucheon Stadium","07호선","752","富川?合???","プチョンジョンハブンドンジャン"
"3755","춘의","Chunui","07호선","753","春衣","チュニ"
"2714","마들","Madeul","07호선","712","?得","マドゥル"
"2715","노원","Nowon","07호선","713","芦原","ノウォン"
"2716","중계","Junggye","07호선","714","中溪","チュンゲ"
"2717","하계","Hagye","07호선","715","下溪","ハゲ"
"2718","공릉","Gongneung","07호선","716","孔陵","コンヌン"
"2719","태릉입구","Taereung","07호선","717","泰陵","テルンイック"
"2720","먹골","Meokgol","07호선","718","墨谷","モッコル"
"2721","중화","Junghwa","07호선","719","中和","チュンファ"
"2722","상봉","Sangbong","07호선","720","上?(市外巴士客?站)","サンボン??"
"2723","면목","Myeonmok","07호선","721","面牧","ミョンモク"
"2725","용마산","Yongmasan","07호선","723","??山","ヨンマサン"
"2726","중곡","Junggok","07호선","724","中谷","チュンゴク"
"2729","건대입구","Konkuk Univ.","07호선","727","建?大?","コンデイック"
"2730","자양","Jayang","07호선","728","紫?","チャヤン"
"2732","강남구청","Gangnam-gu Office","07호선","730","江南??","カンナムグチョン"
"2733","학동","Hak-dong","07호선","731","?洞","ハクトン"
"2734","논현","Nonhyeon","07호선","732","??","ノンヒョン"
"2735","반포","Banpo","07호선","733","?浦","パンポ"
"2739","남성","Namseong","07호선","737","南城","ナムソン"
"3760","굴포천","Gulpocheon","07호선","758","掘浦川","クルポチョン"
"2751","천왕","Cheonwang","07호선","749","天旺","チョヌァン"
"2727","군자","Gunja","07호선","725","君子","クンジャ"
"3763","석남","Seongnam","07호선","761","石南","石南"
"3762","산곡","Sangok","07호선","760","山谷","サンゴク"
"2736","고속터미널","Express Bus Terminal","07호선","734","高速巴士客?站","コソクタ?ミナル"
"2738","이수","Isu","07호선","736","梨水","イス"
"2740","숭실대입구","Soongsil Univ.","07호선","738","崇?大?(?毗?)","スンシルデイック"
"2741","상도","Sangdo","07호선","739","上道","サンド"
"2742","장승배기","Jangseungbaegi","07호선","740","?丞拜基","チャンスンベギ"
"2743","신대방삼거리","Sindaebang  samgeori","07호선","741","新大方丁字路口","シンデバンサムゴリ"
"2744","보라매","Boramae","07호선","742","波拉美","ポラメ"
"2745","신풍","Sinpung","07호선","743","新쎱","シンプン"
"2746","대림","Daerim","07호선","744","大林","テリム"
"2747","남구로","Namguro","07호선","745","南九老","ナムグロ"
"2748","가산디지털단지","Gasan Digital Complex","07호선","746","加山????","カサン·デジタルダンジ"
"2749","철산","Cheolsan","07호선","747","?山","チョルサン"
"2750","광명사거리","Gwangmyeongsageori","07호선","748","光明十字路口","クァンミョンサゴリ"
"2752","온수","Onsu","07호선","750","?水","オンス"
"2724","사가정","Sagajeong","07호선","722","四佳亭","サガジョン"
"3757","부천시청","Bucheon City Hall","07호선","755","富川市?","プチョンシチョン"
"2731","청담","Cheongdam","07호선","729","?潭","チョンダム"
"2737","내방","Naebang","07호선","735","內方","ネバン"
"2728","어린이대공원","Children`s  Grand Park","07호선","726","?童大公?","オリニ·テゴンウォン"
"2711","장암","Jangam","07호선","709","?岩","チャンアム"
"2712","도봉산","Dobongsan","07호선","710","道峰山","トボンサン"
"2808","구리","Guri","08호선","807","九里","クリ"
"2805","별내","Byeollae","08호선","804","別內","ピョルネ"
"2809","장자호수공원","Jangja Lake Park","08호선","808","?者湖水公?","チャンジャホスゴンウォン"
"2810","암사역사공원","Amsa History Park","08호선","809","岩寺?史公?","アムサヨクサゴンウォン"
"2811","암사","Amsa","08호선","810","岩寺","アムサ"
"2812","천호","Cheonho","08호선","811","千戶","チョンホ"
"2814","몽촌토성","Mongchontoseong","08호선","813","?村土城","モンチョントソン"
"2815","잠실","Jamsil","08호선","814","쒧室","チャムシル"
"2816","석촌","Seokchon","08호선","815","石村","ソクチョン"
"2817","송파","Songpa","08호선","816","松坡","ソンパ"
"2818","가락시장","Garak Market","08호선","817","可?市?","カラク·シジャン"
"2819","문정","Munjeong","08호선","818","文井","ムンジョン"
"2820","장지","Jangji","08호선","819","?旨","チャンジ"
"2821","복정","Bokjeong","08호선","820","福井","ポクチョン"
